issn,eissn
02562804,
16825055,
0250698X,10125019
02584913,
00019887,15271978
00019909,14682621
10624783,
15692094,
17528631,
02630338,
00019933,19372108
07947348,
10176772,14678268
18725457,
01452258,
10213589,
16059786,
19376812,
16806905,
17532523,17532531
00019992,
14725843,14725851
16815556,
11195096,
2211419X,
1991637X,
16085906,17279445
16085914,
16845315,
,1595689X
15314065,
01416707,13652028
17426979,
20400705,20400713
14367890,
,
10229272,
04416651,
20060165,
07954778,
1814232X,18142338
03093913,
19960808,
10158618,
01896725,9745998
19960816,
20712928,20712936
19948220,
03310175,
10220119,
11184841,
01896016,
11105704,
18168396,
22236589,
19392206,19392214
10246029,21540128
00020184,14692872
10932658,
00020206,
07476108,
15627020,
00654124,
10129405,21907668
00020397,
00020478,
17641977,17762766
17516447,17516455
10489959,
08852413,
1522936X,
01619152,
00020729,14682834
0144686X,14691779
01635158,
15681637,
10130950,
00654299,
03790363,
15787168,
10474781,
00020931,
00020958,
13591789,
0096140X,10982337
03949532,
00020966,
15940667,17208319
09289917,
,21525250
13607863,13646915
14749718,
1745509X,
13685538,14730790
13825585,
08928762,
15161498,
08745498,
16637852,
03031853,20780400
13000012,
09380337,
07424477,15206297
0738145X,
03652807,07176333
13317768,13317776
0309586X,
02697475,
00021369,
14596067,
12390992,14573806
14619555,14619563
01681923,
10682805,
18395619,
0139570X,
01695150,
00021423,
11092580,
00021458,
16821130,
00021482,
00021490,
00021571,
0789600X,
16712927,
0308521X,18732267
01414607,
03783774,
05513677,
03041131,
0889048X,15728366
12499951,
01678809,
18041930,
03276244,
01260537,
17226996,
13160354,
09195505,
00021857,
14053195,
21683565,21683573
03043746,
01674366,15729680
00021873,15882713
01209965,
02495627,12979643
17740746,17730155
00021962,14350645
1406894X,
13201271,14400952
1039091X,
10155104,
07354681,
,
15518442,
00907782,
1551840X,
18347223,
18349250,
09515666,14355655
10518266,
08966664,
09217126,
07384602,
1000467X,
00011452,1533385X
00011460,
22809112,22396152
16959752,15789705
00011541,15475905
11663413,
02699370,
09530096,
08870292,
10168974,
10907165,15733254
08873852,
09540121,13600451
10431543,
10452877,
08999546,
10137785,
08935068,
10872914,
08871493,
10530894,
07376006,
08892229,
17426405,
20901240,20901259
11396121,
10524207,
10691456,
,
13502840,
13842692,
,
01793098,
08563969,
1863916X,
15428117,
15298663,
05695554,
13419463,
14610213,
02655004,
20904479,
21583226,
10547541,
07471289,
08970823,
05683408,
07306784,
10796134,
1067991X,15326497
10586628,
18739318,18739326
11786221,
13698869,
17488842,
02687615,
15285855,
1346602X,
05683939,7187181
03551725,
23294515,23294523
21507740,21507759
21507716,21507724
21576998,21577005
03640094,14754541
10263497,
09728600,
0002371X,
1210955X,
16419227,
09425276,
0001785X,
03402541,
09431837,
01724606,
03410501,14389916
03422836,
03005704,
03024350,14389428
14372754,
03788504,
00655589,
0939267X,
0341051X,14389940
14337940,
00446173,
00017868,
03403130,
16146891,
00023906,
03240959,
03207919,
18019064,
00023957,
07384947,
10917306,
00024538,
00024619,
10594280,
00024678,
00024805,
00024821,
14819988,
00951390,
00656100,
03760200,
12677167,
03115518,
07418329,
07350414,14643502
13586173,
08831386,
0090838X,
